year,category,subcategory,name,description,people,places,editor,links,concepts
1955,publication,proposal,A Proposal for the Dartmouth Summer Research Project on Artificial Intelligence,First time AI is mentioned.,"McCarthy,Minsky,Rochester,Shannon",Dartmouth College,,http://jmc.stanford.edu/articles/dartmouth/dartmouth.pdf,AI
1956,event,workshop,The Darthmouth Summer Research Project on Artificial Intelligence,Seminal event for AI as a field.,"Minsky,Bigelow,Mackay,Solomonoff,Holland,McCarthy,Shannon,Rochester,Selfridge,Newell,Simon",Dartmouth College,,https://home.dartmouth.edu/about/artificial-intelligence-ai-coined-dartmouth,AI
1943,publication,journal,A Logical Calculus of the Ideas Immanent in Nervous Activity,"A first mathematical model of the nervous system as a network of simple logical elements, later know as Artificial Neural Networks (ANNs). This work is seminal in the fields of cognitive science, computational neuroscience, computer science, and artificial intelligence. ","McCulloch,Pitts","University of Illinois, College of Medecine",Bulletin of Mathematical Biology,https://www.cs.cmu.edu/~./epxing/Class/10715/reading/McCulloch.and.Pitts.pdf,"ANN,connectionism"
1948,publication,journal,A Mathematical Theory of Communication,Seminal paper that gives rise to the field of information theory.,Shannon,USA,The Bell System Technical Journal,https://people.math.harvard.edu/~ctm/home/text/others/shannon/entropy/entropy.pdf,information theory
1950,publication,journal,Computing Machinery and Intelligence,"Introduction of the imitation game, now known as the Turing Test—a test of a machine's ability to exhibit intelligent behaviour.",Turing,UK,Oxford University Press,https://academic.oup.com/mind/article-abstract/LIX/236/433/986238?redirectedFrom=fulltext,Turing test
1956,publication,technical report,Logic Theorist,"Development of the first computer program deliberately engineered to perform automated reasoning, and introduction of the symbolic reasoning paradigm.","Newell,Simon,Shaw",The RAND Corporation,,http://shelf1.library.cmu.edu/IMLS/BACKUP/MindModels.pre_Oct1/logictheorymachine.pdf,symbolic AI
1957,publication,technical report,The Perceptron: A Perceiving and Recognizing Automaton,"First description and implementation of a perceptron, a simple neural net.",Rosenblatt,Cornell Aeronautical Laboratory,,https://bpb-us-e2.wpmucdn.com/websites.umass.edu/dist/a/27637/files/2016/03/rosenblatt-1957.pdf,perceptron
1958,publication,journal,The Perceptron: A Probabilistic Model for Information Storage and Organization in the Brain,Theoretical paper on the perceptron.,Rosenblatt,Cornell Aeronautical Laboratory,Psychological Review,https://www.ling.upenn.edu/courses/cogs501/Rosenblatt1958.pdf,perceptron
1965,citation,,,"Machines will be capable, within twenty years, of doing any work a man can do.",Simon,Carnegie Mellon University,Harper & Row,https://archive.org/details/shapeofautomatio00simo/page/n147/mode/2up,
1966,publication,report,Language and Machines: Computers in Translation and Linguistics,A thourough and harsh review of machine translation that contributes to an end of funding in the USA for almost 20 years.,"Pierce,Caroll,Hamp,Hays,Hockett,Oettinger,Perlis",USA,"National Academy of Sciences, National Research Council","https://nap.nationalacademies.org/resource/alpac_lm/ARC000005.pdf,https://aclanthology.org/www.mt-archive.info/90/MTNI-1996-Hutchins.pdf",
1969,publication,book,Perceptrons: An Introduction to Computational Geometry,"A criticism of Rosenblatt's perceptron that marks a halt in research in the field of neural computation and connectionist learning. The authors claim that neural networks will need multiple layers containing multiple neurons to be functional—something that does not exist at the time, and will not exist until 1989. This discourages reaserch on the connectionist approach for several years.","Minsky,Papert",MIT,,https://direct.mit.edu/books/monograph/3132/PerceptronsAn-Introduction-to-Computational,
1970,citation,,,"In from three to eight years we will have a machine with the general intelligence of an average human being. I mean a machine that will be able to read Shakespeare, grease a car, play office politics, tell a joke, have a fight. At that point the machine will begin to educate itself with fantastic speed. In a few months it will be at genius level and a few months after that its powers will be incalculable.",Minsky,MIT,Life magazine,https://gwern.net/doc/reinforcement-learning/robot/1970-darrach.pdf,
1973,publication,report,Artificial Intelligence: A General Survey,A harsh review of the state of AI research in the UK.,Lighthill,UK,UK Science Research Council,https://www.aiai.ed.ac.uk/events/lighthill1973/lighthill.pdf,
1973,citation,,,In no part of the field have the discoveries made so far produced the major impact that was promised.,Lighthill,UK Science Research Council,,https://www.aiai.ed.ac.uk/events/lighthill1973/lighthill.pdf,
1980,event,product release,R1/ XCON,A production-rule-based system to assist in ordering computer systems by automatically selecting the computer system components based on customers' requirements.,,"DEC, Carnegie Mellon University",,https://web.archive.org/web/20171116060857/http://aaai.org/Papers/AAAI/1980/AAAI80-076.pdf,expert systems
1980,event,conference,AAAI'80,First AAAI conference on Artificial Intelligence,"Tenenbaum,Balzer,Earnest,Hayes-Roth,Robinson",Stanford,AAAI,https://aaai.org/conference/aaai/aaai80/,
1981,funding,project,Fifth Generation Computer Systems,Japan's Ministry of International Trade and Industry launches the Fifth Generation Computer Systems (FGCS) 10-year project. Its ambitious goals ultimately led to commercial failure.,,Japan,Ministry of International Trade and Industry,https://ojs.aaai.org/aimagazine/index.php/aimagazine/article/view/380/316,
1981,event,product release,LM-2,"Symbolics releases the LM-2 machine, a commercialization of the MIT Lisp Machine.",,USA,Symbolics,http://www.bitsavers.org/pdf/symbolics/brochures/LM-2.pdf,
1982,publication,journal,Neural Networks and Physical Systems with Emergent Collective Computational Abilities,"Introduction of what is now known as the Hopfield net, which proves that a neural network can learn and process information.",Hopfield,CalTech,PNAS,https://www.pnas.org/doi/10.1073/pnas.79.8.2554,
1983,funding,initiative,Strategic Computing Initiative,The Defense Advanced Research Projects Agency (DARPA) funds research into advanced computer hardware and artificial intelligence for 10 years. The estimated total budget expended is $1B.,,USA,DARPA,https://monoskop.org/images/d/d4/Roland_Alex_Shiman_Philip_Strategic_Computing_DARPA_and_the_Quest_for_Machine_Intelligence_1983-1993.pdf,
1983,event,conference,Conference on Human Factors in Computing Systems,First CHI conference and the emergence of human factors in computing systems,"Nichols,Schneider",Gaithersburg,ACM,"https://archive.sigchi.org/conferences/conference-history/chi/,https://dl.acm.org/doi/proceedings/10.1145/800049",human computer interaction
1986,publication,book,The Society of Mind,"Construction of a model of human intelligence, based on the interactions between a multitude of simple parts called ""agents"".",Minsky,USA,Simon & Schuster,https://books.google.fr/books?id=bLDLllfRpdkC&printsec=frontcover&redir_esc=y#v=onepage&q&f=false,agents
1986,publication,journal,Learning Representations by Back-Propagating Errors,Popularization of the backpropagation method for training neural networks.,"Rumelhart,Hinton,Williams",,,https://www.nature.com/articles/323533a0,backpropagation
1987,publication,report,Manpower and Personel Integration (MANPRINT),"Seminal work in the field of Human Systems Integration, with ties to academic fields of industrial engineering and experimental psychology.",,USA,US Department of the Army,https://apps.dtic.mil/sti/tr/pdf/ADA193742.pdf,"human systems integration,agents"
1989,publication,journal,Backpropagation Applied to Handwritten Zip Code Recognition,"Early implmentation of a Convolutional Neural Network, applied to hand written digit recognition for Zip code numbers provided by the US Postal Service. The publication is associated with the prototype LeNet-1, considered one of the first genuinly useful applications of neural networks.","Le Cun,Boser,Denker,Henderson,Howard,Hubbard",AT&T Bell Labs,Neural Computation,https://galileo-unbound.blog/wp-content/uploads/2025/02/lecun.neco_.1989.1.4.541.pdf,"backpropagation,CNN"
1990,publication,proposal,WorldWideWeb: Proposal for a HyperText Project,Management proposal for the development of the WorldWideWeb.,"Berners-Lee,Cailliau",CERN,,"https://cds.cern.ch/record/2639699/files/Proposal_Nov-1990.pdf,https://home.cern/science/computing/birth-web/short-history-web#:~:text=Where%20the%20Web%20was%20born,and%20institutes%20around%20the%20world.",WWW
1993,technical development,,WWW is released in the public domain,CERN releases the WorldWideWeb software in the public domain,,CERN,,https://www.home.cern/science/computing/birth-web,"WWW,public domain"
1995,publication,journal,Support-Vector Networks,"Seminal paper on Support Vector Machines (SVMs), a highly common classification technique.","Cortes,Vapnik",AT&T Bell Labs,Machine Learning,https://link.springer.com/article/10.1007/BF00994018,SVM
1996,event,technical development,Deep Blue beats Kasparov,"The IBM chess-playing expert system Deep Blue, first developed in 1985 under the name ChipTest (Carnegie Mellon University), then Deep Thought (IBM), wins 2/6 games of chess against world champion Garry Kasparov. It then won a 6-game match against Kasparov in 1997.","Hsu,Campbell,Hoane,Brody,Tan,Kasparov","Carnegie Mellon University;Philadelphia,PA,USA",IBM,https://www.ibm.com/history/deep-blue,
1997,publication,journal,Long Short-Term Memory,"Introduction of the LSTM model, the most common modern type of Recurrent Neural Network (RNN).","Hochreiter,Schmidhuber",Technical University of Munich,Neural Computation,https://direct.mit.edu/neco/article-abstract/9/8/1735/6109/Long-Short-Term-Memory?redirectedFrom=fulltext,"RNN,LSTM"
1999,event,technical development,GeForce 256,"NVIDIA releases the world's first Graphics Processing Unit (GPU), the GeForce 256.",,USA,NVIDIA,https://blogs.nvidia.com/blog/first-gpu-gaming-ai/,GPU
1999,publication,book,Multi-Agent Systems: An Introduction to Distributed Artificial Intelligence,A complete and coherent overview of the theoretical foundations of Multi-Agent Systems (MAS).,Ferber,"Laboratoire d'informatique, de robotique et de microélectronique de Montpellier ",Addison-Wesley Longman Publishing Co.,"https://dl.acm.org/doi/10.5555/520715,https://medium.com/catiotech/multi-agent-systems-fundamentals-a-personal-experience-75f8bcc7d26f","agents,MAS"
2005,citation,,,"[…] Artificial intelligence, a technology field that for decades has overpromised and undelivered. […] At its low point, some computer scientists and software engineers avoided the term artificial intelligence for fear of being viewed as wild-eyed dreamers.",Markoff,,NY Times,https://www.nytimes.com/2005/10/14/technology/behind-artificial-intelligence-a-squadron-of-bright-real-people.html,
2005,event,technical development,Stanley: the Robot that won the DARPA Grand Challenge,Stanley is a self-driving car developed for high-speed desert driving without manual intervention. Stanley won the 2005 DARPA Grand Challenge.,,"Stanford Artificial Intelligence Laboratory;Volkswagen of America, inc.;Intel Research;Mohr Davidow Ventures","Thrun,Montemerlo,Dahlkamp,Stavens,Aron,Diebel,Fong,Gale,Halpenny,Hoffmann,Lau,Oakley,Palatucci,Pratt,Stang,Strohband,Dupont,Jendrossek,Koelen,Markey,Rummel,Niekerk,Jensen,Alessandrini,Bradski,Davies,Ettinger,Kaehler,Nefian,Mahoney","https://robots.stanford.edu/papers/thrun.stanley05.pdf,https://www.nytimes.com/2005/10/14/technology/behind-artificial-intelligence-a-squadron-of-bright-real-people.html",autonomous driving
2006,event,technical development,Launch of AWS S3 and EC2,"Launch of the Simple Storage Service (S3) for securely and privately storing data, as well as the Elastic Compute Cloud (EC2) for instant access to computer processing power.",,USA,Amazon,https://aws.amazon.com/about-aws/our-origins/,"AWS,cloud computing"
2012,publication,conference,ImageNet Classification with Deep Convolutional Neural Networks,The CNN AlexNet greatly outperforms state of the art in the ImageNet 2012 Challenge.,"Krizhevsky,Sutskever,Hinton",University of Toronto,NIPS,https://proceedings.neurips.cc/paper_files/paper/2012/file/c399862d3b9d6b76c8436e924a68c45b-Paper.pdf,CNN
2013,citation,,,We should be able to do 90 percent of miles driven [autonomously] within three years.,Musk,,Originally from the Financial Times,https://spectrum.ieee.org/tesla-working-towards-90-autonomous-car-within-three-years,
2014,publication,conference,Generative Adverserial Networks,,"Goodfellow,Pouget-Abadie,Mirza,Warde-Farley,Ozair,Courville,Bengio",University of Montréal,NIPS,https://proceedings.neurips.cc/paper_files/paper/2014/file/f033ed80deb0234979a61f95710dbe25-Paper.pdf,generative AI
2015,publication,journal,Deep Learning,A review of the state of deep learning.,"Le Cun,Bengio,Hinton",Facebook;University of Montréal;University of Toronto;Google,Nature,https://www.nature.com/articles/nature14539,deep learning
2015,publication,conference,Deep unsupervised learning using non equilibrium thermodynamics,Introduction of the concept of diffusion to machine learning.,"Sohl-Dickstein,Weiss,Maheswaranathan,Ganguli",Stanford;Berkeley,International Conference on Machine Learning,https://proceedings.mlr.press/v37/sohl-dickstein15.pdf,diffusion models
2015,event,founding,OpenAI,"Founding of OpenAI as a non-profit with the intent of developing ""safe and beneficial"" artificial general intelligence (AGI).","Schulman,Musk,Sutskever,Altman","San Francisco, California",,https://openai.com/index/introducing-openai/,AGI
2017,publication,conference,Attention is all you need,Introduction of the transformer architecture.,"Vaswani,Shazeer,Parmar,Uszkoreit,Jones,Gomez,Kaiser,Polosukhin",Google,NIPS,https://proceedings.neurips.cc/paper_files/paper/2017/file/3f5ee243547dee91fbd053c1c4a845aa-Paper.pdf,transformers
2020,event,technical development,A100,"NVIDIA releases the A100 GPU, now a standard for training AI models",,,NVIDIA,https://nvidianews.nvidia.com/news/nvidias-new-ampere-data-center-gpu-in-full-production,GPU
2021,event,product release,DALL-E,"OpenAI reveals DALL-E, an image-generation system that uses a modified version of GPT 3.",,USA,OpenAI,https://venturebeat.com/business/openai-debuts-dall-e-for-generating-images-from-text/,"multimodal AI,diffusion models"
2021,publication,journal,Highly Accurate Protein Structure Prediction with AlphaFold,Introduction of a computational method to predict protein structures.,"Jumper,Evans,Pritzel,Green,Figurnov,Ronneberger,Tunyasuvunakool,Bates,Zidek,Potapenko,Bridgland,Meyer,Kohl,Ballard,Cowie,Romera-Paredes,Nikolow,Jain,Adler,Back,Petersen,Reiman,Clancy,Zielinski,Steinegger,Pacholska,Berghammer,Bodenstein,Silver,Vinyals,Senior,Kavukcuoglu,Kohli,Hassabis",Google DeepMind,Nature,https://www.nature.com/articles/s41586-021-03819-2,
2022,event,product release,MidJourney,Midjourney Inc. releases Midjourney.,,USA,Midjourney,https://docs.midjourney.com/hc/en-us/articles/32199405667853-Version,"multimodal AI,diffusion models"
2022,event,product release,Stable Diffusion,Stability AI releases Stable Diffusion.,,USA,Stability AI,https://stability.ai/news/stable-diffusion-public-release,"multimodal AI,diffusion models"
2022,event,product release,ChatGPT,OpenAI releases GPT 3.5 – ChatGPT.,,USA,OpenAI,https://openai.com/index/chatgpt/,"transformers,chatbot"
2022,event,acquisition,Twitter acquisition,Elon Musk acquires Twitter for $44B.,Musk,USA,,https://www.nytimes.com/2022/10/27/technology/elon-musk-twitter-deal-complete.html,
2023,event,product release,Llama-1,Meta releases Llama-1.,,USA,Meta,https://ai.meta.com/blog/large-language-model-llama-meta-ai/,
2023,event,product release,Grok,xAI releases Grok.,,USA,xAI,https://x.ai/news/grok-os,"transformers,chatbot"
2023,event,product release,Gemini,Google releases Gemini-1.,,USA,Google,https://blog.google/technology/ai/google-gemini-ai/,
2024,event,award,Nobel Prize in Physics,Hopfield and Hinton receive the Nobel Prize in Physics for their foudational discoveries and inventions that enable machine learning with artificial neural networks.,"Hopfield,Hinton",Sweden,The Royal Swedish Academy of Sciences,https://www.nobelprize.org/prizes/physics/2024/press-release/,ANN
2024,publication,online,DeepSeek R1,DeepSeek releases the R1 reasoning model with an open source license.,,China,arXiv,https://arxiv.org/pdf/2501.12948,reasoning model
2025,event,financial development,NVIDIA looses $600B in market value,,,USA,,https://www.ig.com/en/news-and-trade-ideas/why-nvidia-s-share-price-dropped-17--after-deepseek-news-250128,
2025,citation,,,"We predict that the impact of superhuman AI over the next decade will be enormous, exceeding that of the Industrial Revolution.","Kokotajlo,Alexander,Larsen,Lifland,Dean",,AI2027,https://ai-2027.com/,
2025,citation,,,Whether highly agentic systems ultimately promote or degrade human development depends not on their technological capabilities but on the way they are integrated into society—a theme explored throughout this Report,,,2025 Human Development Report,https://hdr.undp.org/system/files/documents/global-report-document/hdr2025reporten.pdf,